time,power,generation
43963.22917,1.13,0.3
43963.23958,1.531,0.3
43963.25,2.205,0.6
43963.26042,3.362,0.9
43963.27083,5.3,1.3
43963.28125,7.708,2
43963.29167,10.186,2.5
43963.30208,12.757,3.2
43963.3125,15.368,3.9
43963.32292,17.726,4.5
43963.33333,20.003,5.1
43963.34375,22.358,5.5
43963.35417,24.49,6.2
43963.36458,26.556,6.8
43963.375,28.341,7.2
43963.38542,29.646,7.5
43963.39583,31.407,7.9
43963.40625,32.577,8.1
43963.41667,34.331,8.7
43963.42708,35.46,9
43963.4375,36.16,5.5
43963.44792,36.919,9.4
43963.45833,37.028,9.1
43963.46875,37.19,9.4
43963.47917,37.916,9.7
43963.48958,38.004,9.6
43963.5,37.568,9.5
43963.51042,37.332,9.3
43963.52083,36.808,9.3
43963.53125,36.486,9.3
43963.54167,36.021,9.1
43963.55208,35.126,8.9
43963.5625,33.981,8.4
43963.57292,32.98,8.4
43963.58333,31.833,8.1
43963.59375,30.552,7.7
43963.60417,29.343,7.5
43963.61458,27.636,7
43963.625,26.102,6.4
43963.63542,24.267,6.2
43963.64583,22.289,5.6
43963.65625,19.921,5.1
43963.66667,17.573,4.5
43963.67708,15.058,3.7
43963.6875,12.194,3.1
43963.69792,9.918,2.5
43963.70833,7.928,2
43963.71875,6.203,1.5
43963.72917,4.692,1.2
43963.73958,3.597,0.9
43963.75,2.624,0.7
43963.76042,1.871,0.5
43963.77083,1.28,0.3
43963.78125,0.718,0.2
43963.79167,0.297,0
43963.80208,0.128,0.1
43963.8125,0.065,0
43963.82292,0,0
43963.83333,0,0
43963.84375,0,0
43963.85417,0,0
43963.86458,0,0
43963.875,0,0
43963.88542,0,0
43963.89583,0,0
43963.90625,0,0
43963.91667,0,0
43963.92708,0,0
43963.9375,0,0
43963.94792,0,0
43963.95833,0,0
43963.96875,0,0
43963.97917,0,0
43963.98958,0,0
43964,0,0
43964.01042,0,0
43964.02083,0,0
43964.03125,0,0
43964.04167,0,0
43964.05208,0,0
43964.0625,0,0
43964.07292,0,0
43964.08333,0,0
43964.09375,0,0
43964.10417,0,0
43964.11458,0,0
43964.125,0,0
43964.13542,0,0
43964.14583,0,0
43964.15625,0,0
43964.16667,0,0
43964.17708,0,0
43964.1875,0,0
43964.19792,0,0
43964.20833,0.158,0
43964.21875,0.598,0.1
43964.22917,1.153,0.3
43964.23958,1.749,0.5
43964.25,2.474,0.6
43964.26042,3.391,0.9
43964.27083,4.614,1.1
43964.28125,6.196,1.6
43964.29167,8.047,2
43964.30208,9.766,2.5
43964.3125,11.915,3
43964.32292,13.731,3.5
43964.33333,15.783,3.9
43964.34375,17.39,4.4
43964.35417,19.42,4.9
43964.36458,21.755,5.6
43964.375,23.838,6
43964.38542,25.744,6.4
43964.39583,27.223,6.9
43964.40625,28.724,7.3
43964.41667,29.751,7.5
43964.42708,30.519,7.8
43964.4375,31.483,8
43964.44792,32.476,8
43964.45833,32.937,8.4
43964.46875,33.323,8.4
43964.47917,33.295,8.5
43964.48958,33.275,8.4
43964.5,33.653,8.3
43964.51042,33.317,8.5
43964.52083,32.827,8.3
43964.53125,32.862,5.6
43964.54167,31.805,7.5
43964.55208,31.763,7.9
43964.5625,31.14,7.9
43964.57292,30.257,7.7
43964.58333,29.103,7.4
43964.59375,26.617,6.7
43964.60417,25.37,6.4
43964.61458,19.74,4.9
43964.625,18.88,4.8
43964.63542,15.295,3.9
43964.64583,13.33,3.4
43964.65625,13.208,3.3
43964.66667,10.386,2.6
43964.67708,10.087,2.5
43964.6875,8.406,2.2
43964.69792,5.447,1.3
43964.70833,5.59,1.5
43964.71875,4.6,1.1
43964.72917,3.761,1
43964.73958,2.956,0.7
43964.75,2.088,0.5
43964.76042,1.83,0.5
43964.77083,1.054,0.3
43964.78125,0.476,0.1
43964.79167,0.213,0
43964.80208,0.101,0.1
43964.8125,0.045,0
43964.82292,0,0
43964.83333,0,0
43964.84375,0,0
43964.85417,0,0
43964.86458,0,0
43964.875,0,0
43964.88542,0,0
43964.89583,0,0
43964.90625,0,0
43964.91667,0,0
43964.92708,0,0
43964.9375,0,0
43964.94792,0,0
43964.95833,0,0
43964.96875,0,0
43964.97917,0,0
43964.98958,0,0
43965,0,0
43965.01042,0,0
43965.02083,0,0
43965.03125,0,0
43965.04167,0,0
43965.05208,0,0
43965.0625,0,0
43965.07292,0,0
43965.08333,0,0
43965.09375,0,0
43965.10417,0,0
43965.11458,0,0
43965.125,0,0
43965.13542,0,0
43965.14583,0,0
43965.15625,0,0
43965.16667,0,0
43965.17708,0,0
43965.1875,0,0
43965.19792,0,0
43965.20833,0.1,0
43965.21875,0.693,0.1
43965.22917,1.303,0.4
43965.23958,1.739,0.4
43965.25,1.831,0.5
43965.26042,2.952,0.7
43965.27083,5.156,1.3
43965.28125,7.862,2
43965.29167,9.496,2.4
43965.30208,7.396,1.9
43965.3125,8.144,2.1
43965.32292,14.541,2.2
43965.33333,15.963,4.3
43965.34375,20.252,5
43965.35417,20.885,5.3
43965.36458,24.273,6.1
43965.375,25.999,6.5
43965.38542,26.947,6.8
43965.39583,28.265,4.8
43965.40625,29.784,7.6
43965.41667,31.397,4.8
43965.42708,32.322,8
43965.4375,33.394,8.4
43965.44792,34.142,8.7
43965.45833,35.554,9
43965.46875,36.131,9.2
43965.47917,35.791,8.9
43965.48958,34.427,8.7
43965.5,35.898,9.1
43965.51042,35.921,9.2
43965.52083,35.594,9
43965.53125,34.71,8.8
43965.54167,32.876,8.1
43965.55208,32.906,8.3
43965.5625,31.905,4.8
43965.57292,31.384,8
43965.58333,30.462,7.7
43965.59375,29.015,7.2
43965.60417,27.832,7.1
43965.61458,26.038,4.3
43965.625,24.335,6.1
43965.63542,22.694,5.8
43965.64583,20.734,5.1
43965.65625,18.642,4.8
43965.66667,16.589,4.2
43965.67708,14.576,3.7
43965.6875,12.3,3.1
43965.69792,9.943,2.5
43965.70833,7.702,1.9
43965.71875,6.031,1.5
43965.72917,4.573,1.2
43965.73958,3.26,0.8
43965.75,2.435,0.6
43965.76042,1.392,0.4
43965.77083,0.979,0.1
43965.78125,0.608,0.1
43965.79167,0.273,0.1
43965.80208,0.132,0
43965.8125,0.065,0
43965.82292,0,0
43965.83333,0,0
43965.84375,0,0
43965.85417,0,0
43965.86458,0,0
43965.875,0,0
43965.88542,0,0
43965.89583,0,0
43965.90625,0,0
43965.91667,0,0
43965.92708,0,0
43965.9375,0,0
43965.94792,0,0
43965.95833,0,0
43965.96875,0,0
43965.97917,0,0
43965.98958,0,0
43966,0,0
43966.01042,0,0
43966.02083,0,0
43966.03125,0,0
43966.04167,0,0
43966.05208,0,0
43966.0625,0,0
43966.07292,0,0
43966.08333,0,0
43966.09375,0,0
43966.10417,0,0
43966.11458,0,0
43966.125,0,0
43966.13542,0,0
43966.14583,0,0
43966.15625,0,0
43966.16667,0,0
43966.17708,0,0
43966.1875,0,0
43966.19792,0,0
43966.20833,0.119,0
43966.21875,0.506,0.1
43966.22917,1.03,0.3
43966.23958,1.902,0.4
43966.25,2.758,0.7
43966.26042,3.63,1
43966.27083,4.727,1.1
43966.28125,6.099,1.6
43966.29167,8.71,2.2
43966.30208,8.623,2.1
43966.3125,6.654,1.7
43966.32292,6.112,1.6
43966.33333,7.116,1.8
43966.34375,7.154,1.8
43966.35417,7.387,1.8
43966.36458,7.121,1.8
43966.375,9.63,2.5
43966.38542,14.329,3.6
43966.39583,20.528,5.3
43966.40625,17.952,4.5
43966.41667,21.426,5.5
43966.42708,23.752,6.2
43966.4375,23.318,6
43966.44792,31.427,8
43966.45833,30.169,7.6
43966.46875,28.993,7.1
43966.47917,22.207,5.7
43966.48958,19.232,4.9
43966.5,29.603,7.4
43966.51042,33.437,8.4
43966.52083,27.073,6.8
43966.53125,30.235,7.5
43966.54167,32.247,8.3
43966.55208,28.509,7.3
43966.5625,26.691,6.9
43966.57292,29.526,7.5
43966.58333,28.931,7.1
43966.59375,27.887,4.8
43966.60417,26.554,6.3
43966.61458,22.083,5.5
43966.625,23.629,6
43966.63542,21.135,5.2
43966.64583,19.796,5
43966.65625,18.016,4.6
43966.66667,15.98,4.1
43966.67708,13.439,3.4
43966.6875,11.884,2.9
43966.69792,10.48,1.8
43966.70833,6.317,1.6
43966.71875,4.308,1
43966.72917,6.867,1.8
43966.73958,4.139,1
43966.75,2.462,0.6
43966.76042,2.083,0.6
43966.77083,0.933,0.2
43966.78125,0.346,0.1
43966.79167,0.188,0
43966.80208,0.109,0.1
43966.8125,0.061,0
43966.82292,0,0
43966.83333,0,0
43966.84375,0,0
43966.85417,0,0
43966.86458,0,0
43966.875,0,0
43966.88542,0,0
43966.89583,0,0
43966.90625,0,0
43966.91667,0,0
43966.92708,0,0
43966.9375,0,0
43966.94792,0,0
43966.95833,0,0
43966.96875,0,0
43966.97917,0,0
43966.98958,0,0
43967,0,0
43967.01042,0,0
43967.02083,0,0
43967.03125,0,0
43967.04167,0,0
43967.05208,0,0
43967.0625,0,0
43967.07292,0,0
43967.08333,0,0
43967.09375,0,0
43967.10417,0,0
43967.11458,0,0
43967.125,0,0
43967.13542,0,0
43967.14583,0,0
43967.15625,0,0
43967.16667,0,0
43967.17708,0,0
43967.1875,0,0
43967.19792,0,0
43967.20833,0.132,0
43967.21875,0.399,0.1
43967.22917,1.017,0.2
43967.23958,2.04,0.5
43967.25,2.324,0.6
43967.26042,2.942,0.5
43967.27083,3.354,0.8
43967.28125,2.857,0.4
43967.29167,2.707,0.7
43967.30208,3.663,0.9
43967.3125,3.241,0.8
43967.32292,2.88,0.7
43967.33333,3.69,1
43967.34375,5.154,1.2
43967.35417,8.093,2.1
43967.36458,6.615,1.7
43967.375,6.514,1.6
43967.38542,6.015,1.5
43967.39583,5.51,1.4
43967.40625,5.545,1.4
43967.41667,5.913,1.5
43967.42708,5.62,1.4
43967.4375,9.234,2.4
43967.44792,10.257,2.6
43967.45833,5.581,1.3
43967.46875,5.23,1.4
43967.47917,5.514,1.4
43967.48958,6.641,1.7
43967.5,7.28,1.8
43967.51042,6.236,1.5
43967.52083,4.218,1.1
43967.53125,3.214,0.8
43967.54167,4.124,1.1
43967.55208,6.472,1.6
43967.5625,3.654,0.9
43967.57292,7.637,2
43967.58333,9.086,2.3
43967.59375,13.375,3.4
43967.60417,16.814,4.2
43967.61458,19.616,5
43967.625,16.801,4.1
43967.63542,16.603,4.2
43967.64583,16.419,4.2
43967.65625,14.835,3.7
43967.66667,10.578,2.6
43967.67708,7.627,1.9
43967.6875,11.583,3
43967.69792,5.492,1.4
43967.70833,4.059,1
43967.71875,1.833,0.5
43967.72917,3.78,0.9
43967.73958,3.176,0.8
43967.75,3.458,0.9
43967.76042,3.02,0.8
43967.77083,2.485,0.6
43967.78125,1.406,0.3
43967.79167,0.768,0.2
43967.80208,0.288,0.1
43967.8125,0.089,0
43967.82292,0.011,0
43967.83333,0,0
43967.84375,0,0
43967.85417,0,0
43967.86458,0,0
43967.875,0,0
43967.88542,0,0
43967.89583,0,0
43967.90625,0,0
43967.91667,0,0
43967.92708,0,0
43967.9375,0,0
43967.94792,0,0
43967.95833,0,0
43967.96875,0,0
43967.97917,0,0
43967.98958,0,0
43968,0,0
43968.01042,0,0
43968.02083,0,0
43968.03125,0,0
43968.04167,0,0
43968.05208,0,0
43968.0625,0,0
43968.07292,0,0
43968.08333,0,0
43968.09375,0,0
43968.10417,0,0
43968.11458,0,0
43968.125,0,0
43968.13542,0,0
43968.14583,0,0
43968.15625,0,0
43968.16667,0,0
43968.17708,0,0
43968.1875,0,0
43968.19792,0,0
43968.20833,0.222,0
43968.21875,0.628,0.2
43968.22917,1.265,0.3
43968.23958,2.116,0.5
43968.25,2.741,0.7
43968.26042,3.584,0.9
43968.27083,3.741,1
43968.28125,4.523,1.1
43968.29167,6.647,1.7
43968.30208,9.052,2.3
43968.3125,8.347,2.1
43968.32292,9.198,2.3
43968.33333,10.8,2.7
43968.34375,9.018,2.3
43968.35417,10.622,2.7
43968.36458,10.411,2.6
43968.375,10.035,2.6
43968.38542,14.419,3.6
43968.39583,14.752,3.7
43968.40625,16.465,4.2
43968.41667,10.157,2.6
43968.42708,15.644,4
43968.4375,16.756,4.2
43968.44792,14.238,2.4
43968.45833,9.49,2.4
43968.46875,8.408,2.1
43968.47917,7.561,2
43968.48958,7.234,1.8
43968.5,7.721,1.9
43968.51042,8.576,2.2
43968.52083,14.126,3.6
43968.53125,19.603,4.8
43968.54167,13.39,3.4
43968.55208,10.786,2.6
43968.5625,14.5,3.7
43968.57292,11.585,3
43968.58333,9.863,2.5
43968.59375,11.961,3
43968.60417,19.102,4.8
43968.61458,13.756,3.5
43968.625,17.322,4.3
43968.63542,11.35,2.9
43968.64583,15.25,4
43968.65625,18.076,4.5
43968.66667,15.562,3.9
43968.67708,13.475,3.4
43968.6875,11.712,3
43968.69792,9.675,2.4
43968.70833,7.567,2
43968.71875,6.004,1.5
43968.72917,3.876,0.9
43968.73958,2.871,0.8
43968.75,1.679,0.4
43968.76042,0.756,0.2
43968.77083,0.319,0.1
43968.78125,0.174,0
43968.79167,0.107,0
43968.80208,0.093,0.1
43968.8125,0.038,0
43968.82292,0,0
43968.83333,0,0
43968.84375,0,0
43968.85417,0,0
43968.86458,0,0
43968.875,0,0
43968.88542,0,0
43968.89583,0,0
43968.90625,0,0
43968.91667,0,0
43968.92708,0,0
43968.9375,0,0
43968.94792,0,0
43968.95833,0,0
43968.96875,0,0
43968.97917,0,0
43968.98958,0,0
43969,0,0
43969.01042,0,0
43969.02083,0,0
43969.03125,0,0
43969.04167,0,0
43969.05208,0,0
43969.0625,0,0
43969.07292,0,0
43969.08333,0,0
43969.09375,0,0
43969.10417,0,0
43969.11458,0,0
43969.125,0,0
43969.13542,0,0
43969.14583,0,0
43969.15625,0,0
43969.16667,0,0
43969.17708,0,0
43969.1875,0,0
43969.19792,0,0
43969.20833,0.178,0
43969.21875,0.516,0.1
43969.22917,0.926,0.3
43969.23958,1.454,0.3
43969.25,1.458,0.4
43969.26042,2.225,0.6
43969.27083,4.691,1.1
43969.28125,6.95,1.8
43969.29167,8.963,1.5
43969.30208,9.981,2.6
43969.3125,12.722,3.2
43969.32292,15.322,3.8
43969.33333,16.068,4.1
43969.34375,15.89,4
43969.35417,17.247,4.4
43969.36458,16.178,4.1
43969.375,25.759,6.5
43969.38542,26.524,6.7
43969.39583,27.941,7
43969.40625,29.385,7.5
43969.41667,29.586,7.5
43969.42708,29.411,7.2
43969.4375,25.474,6.6
43969.44792,20.209,5.5
43969.45833,25.31,6.5
43969.46875,34.605,8.8
43969.47917,33.613,8.6
43969.48958,32.156,7.7
43969.5,35.356,8.9
43969.51042,34.599,5.9
43969.52083,33.066,8.3
43969.53125,34.214,8.7
43969.54167,33.992,8.4
43969.55208,32.874,8.2
43969.5625,30.009,7.5
43969.57292,26.922,6.6
43969.58333,28.026,7.1
43969.59375,23.977,5.7
43969.60417,28.758,7.4
43969.61458,20.722,3.4
43969.625,20.836,5
43969.63542,24.111,6.1
43969.64583,21.201,5.4
43969.65625,20.228,5
43969.66667,17.889,4.5
43969.67708,15.645,4
43969.6875,13.064,3.3
43969.69792,11.212,2.9
43969.70833,10.304,2.5
43969.71875,7.57,1.9
43969.72917,5.218,1.3
43969.73958,3.319,0.9
43969.75,2.645,0.7
43969.76042,1.882,0.4
43969.77083,1.366,0.4
43969.78125,0.892,0.2
43969.79167,0.433,0.1
43969.80208,0.167,0.1
43969.8125,0.087,0
43969.82292,0.011,0
43969.83333,0,0
43969.84375,0,0
43969.85417,0,0
43969.86458,0,0
43969.875,0,0
43969.88542,0,0
43969.89583,0,0
43969.90625,0,0
43969.91667,0,0
43969.92708,0,0
43969.9375,0,0
43969.94792,0,0
43969.95833,0,0
43969.96875,0,0
43969.97917,0,0
43969.98958,0,0
43970,0,0
43970.01042,0,0
43970.02083,0,0
43970.03125,0,0
43970.04167,0,0
43970.05208,0,0
43970.0625,0,0
43970.07292,0,0
43970.08333,0,0
43970.09375,0,0
43970.10417,0,0
43970.11458,0,0
43970.125,0,0
43970.13542,0,0
43970.14583,0,0
43970.15625,0,0
43970.16667,0,0
43970.17708,0,0
43970.1875,0,0
43970.19792,0.014,0
43970.20833,0.426,0.1
43970.21875,0.82,0.2
43970.22917,1.244,0.3
43970.23958,1.69,0.4
43970.25,2.391,0.6
43970.26042,3.461,0.9
43970.27083,5.195,1.3
43970.28125,7.28,1.8
43970.29167,9.426,2.4
43970.30208,11.629,2.9
43970.3125,13.937,3.5
43970.32292,16.23,4.2
43970.33333,18.518,4.6
43970.34375,20.691,5.3
43970.35417,22.622,5.7
43970.36458,24.33,6
43970.375,26.002,6.7
43970.38542,27.264,6.9
43970.39583,28.821,7.3
43970.40625,30.118,7.6
43970.41667,31.557,7.8
43970.42708,32.278,8.2
43970.4375,32.648,8.3
43970.44792,33.624,8.5
43970.45833,34.748,8.9
43970.46875,35.465,8.7
43970.47917,36.009,9.2
43970.48958,35.718,9
43970.5,35.514,9
43970.51042,35.367,9
43970.52083,34.868,8.9
43970.53125,34.168,8.4
43970.54167,33.408,8.5
43970.55208,32.733,8.3
43970.5625,32.166,8.2
43970.57292,31.216,7.9
